Key,Strength1,Percentile1,Strength2,Percentile2,Strength3,Percentile3
AAQTBS,Theory,10,,10,Theory,10
AECFIK,Theory,30,,,,
AJVQXB,,30,Experiment,30,Experiment,
AQHKYN,Theory,10,,30,Both,30
ASRNPX,Experiment,30,Experiment,10,,10
ATRBPP,,10,Theory,10,,10
BAMXYD,,10,Theory,10,Theory,
BGDFKE,Experiment,30,Experiment,,,
BKJHFN,Theory,10,Experiment,30,,
BOHELW,Theory,10,,10,,
BOVBCP,Both,10,Both,10,,
BPSXGQ,,10,Both,10,,30
CKNQYI,Both,30,Experiment,10,Experiment,10
CLROLR,Both,,,10,,10
CPCWPJ,,,Experiment,10,Experiment,30
CPMZHC,,30,Experiment,30,Experiment,
CQDXUM,,10,Experiment,10,,
CRQOFR,,10,,30,,
CXDDNP,Theory,10,Experiment,10,Both,10
CXRZCF,Both,10,Theory,,,10
DPZCCJ,,,Both,10,,
DTRYGR,,30,Theory,30,Both,10
EPRZJB,Theory,10,,30,Theory,10
EQINFR,Both,10,,10,Theory,30
ESPVQN,,,Experiment,,,
EURZWJ,Theory,10,Theory,,,10
EUVSKU,,,,30,Experiment,10
EVGVEZ,Experiment,10,Experiment,30,Experiment,
EWWOQK,Experiment,30,Experiment,10,Both,30
FBQECN,Theory,10,Theory,10,Both,10
FGEXCB,,30,,,,10
FHVBZG,Experiment,30,,30,Experiment,
FIFYZN,Theory,10,Theory,10,Theory,30
FKJOYP,Theory,30,Theory,10,Theory,30
FPQBQS,Experiment,30,Experiment,10,Experiment,30
FROIDT,,10,Experiment,10,,30
FVMGAV,Theory,10,Both,10,Both,10
FYACKP,Experiment,30,,30,,
FYARRM,,10,Both,10,Theory,10
GGZLEC,,30,Theory,30,,
GKHQST,,10,Both,10,Experiment,10
GTVUBZ,,10,,30,Experiment,30
HJJIMU,Theory,30,,10,,30
HLRNSM,Experiment,10,Experiment,10,Experiment,30
HNIBCL,,,Theory,10,,10
HNWERY,Theory,10,Theory,10,Theory,10
HNZZNB,Experiment,30,Experiment,10,Experiment,30
HQMOAA,,10,Experiment,10,Experiment,10
HRYQYA,,10,,10,Theory,10
HSWATL,Theory,10,Theory,10,,10
HUBQLX,Theory,10,,10,,
HVPUSN,Theory,10,Both,30,Experiment,30
HXWZMI,Theory,30,Theory,,Theory,10
HZFQNE,Experiment,10,,,,
IBSAPL,Experiment,10,,,Experiment,10
IGMXFN,Both,,,,,10
IJIMOY,,10,,,Theory,30
IMIWBC,Experiment,30,Theory,30,Experiment,
INWTER,,10,,10,Both,10
IVUOCP,Both,10,,10,Both,10
IZDDBK,,10,Both,10,Both,10
JFCADI,Experiment,30,Theory,30,,
JHJGHN,,10,,,,
JZUBGZ,Theory,30,Theory,10,,
KAVTIL,Both,10,,10,Both,10
KDOYAE,Experiment,10,Experiment,10,Theory,10
KFGKQL,Theory,10,Theory,10,Both,10
KGOXPF,Both,10,Experiment,10,Both,30
KMLJCC,Theory,10,Theory,,,30
KNTAGY,,,Theory,10,,10
KPKJUL,,,Theory,30,,10
KQSJKA,Theory,30,,10,Experiment,30
LCOIDH,,10,Both,10,,10
LCVLEV,,30,Experiment,,,
LFIQWW,Both,30,Experiment,,Theory,10
LFUCSI,Theory,30,,10,Both,10
LHYDGH,,10,Theory,10,Theory,10
LJXAEP,,10,Experiment,,Theory,10
LMWTUS,Experiment,10,Experiment,,Experiment,
LQZOUM,,10,Experiment,,Experiment,10
LTMAZM,Both,10,,30,,10
LTYZJW,Theory,30,,10,,10
LWYFAX,Theory,10,,30,,30
MDWWMI,,30,Experiment,30,Experiment,10
MFWIWB,Experiment,10,Theory,10,Experiment,10
MGACXX,,10,Experiment,,,
MGLLNK,,10,Theory,10,,
MKJIMI,Both,30,Experiment,,Both,30
MLNSVI,Experiment,10,Experiment,30,Experiment,10
MQZUGS,Theory,10,,,Theory,10
MUKRZE,Both,10,Both,10,,
MVPPHR,,30,,,,
MXONUU,Theory,10,Theory,10,Theory,10
NBJHCI,,,Both,10,Experiment,10
NGQYXQ,Both,10,Theory,,Experiment,10
NOYLSE,Both,30,,10,,10
NXRUUW,Experiment,30,Experiment,,Experiment,30
NZYGZF,,30,Both,10,,
OGFNIH,Experiment,10,Experiment,10,Theory,10
OMBNMP,,,Theory,10,,
OMLHJR,,30,Experiment,,Experiment,30
OORLKD,Experiment,10,,10,,10
OQLOSJ,Both,10,Theory,30,Theory,10
OQTDZW,Theory,10,Theory,10,,
ORJGBT,Theory,10,,10,,30
OSUEIB,Both,10,,10,Both,10
OSXPIB,,,Experiment,,Theory,30
OTBAKV,Theory,30,Theory,10,Both,30
PIZBXK,,30,Theory,10,Theory,10
PJAPDH,Experiment,10,,,,10
PJQMOI,Experiment,10,,30,Experiment,
PNTQDF,Experiment,,Experiment,30,,
PPKUOJ,Theory,30,,,Theory,
PPXMPJ,Theory,30,Experiment,10,Experiment,
PREFTV,,10,Experiment,10,Both,10
PULQUV,Experiment,30,Experiment,10,,10
QBDMBI,Theory,10,,,,
QFZWSH,Experiment,10,Experiment,10,,10
QKSHEN,Both,10,Both,10,Theory,10
